merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Scarpe&Scarpe,no,,Shopping,,,,
Scavolini,no,,Housing,,,,
Segafredo,no,,Coffee,,,,
Selle Royal,no,,Transport,,,,
Semeraro,no,,Shopping,,,,
Servizio Elettrico Nazionale,yes,,Bills,Housing,Utilities,,
Shaka,no,,,,,,
Sharengo,no,,Transport,,,,
shutterstock,no,,Expenses,,,,
Shy,no,,Shopping,,,,
SIDI,yes,,Transport,,,,
Sigma,yes,,Other,,Construction,,
Signorvino,no,,EatingOut,,,,
Simply,yes,,Travel,,,,
Sisley,no,,Shopping,,Beauty,,
SIVI,no,,Transport,,,,
Skrill LTD,no,,Bills,,,,
SLAM,no,,Shopping,,,,
Smeg,no,,Shopping,,,,
Snam,no,,Bills,Housing,Utilities,,
Sorbino,yes,,Shopping,,,,
Sorgenia,yes,,Bills,Housing,Utilities,,
Sorin Group,no,,PersonalCare,,,,
Sottotono,no,,Shopping,,,,
Sperlari,no,,Groceries,,,,
Sport of Specialist,no,,Shopping,,,,
Sportland,no,,Shopping,,,,
Standa,no,,Shopping,,,,
Stazione Itala,no,,Transport,,,,
Stefanel,no,,Shopping,,,,
Studio Medico Aurora,no,,PersonalCare,,,,
Superga,no,,Shopping,,,,
Supermedia,no,,Bills,Housing,Utilities,,
Supermercato GS,no,,Groceries,,,,
Surf Style,yes,,Shopping,,,,
Tally Weijl,no,,Shopping,,,,
Taxi Dell'Orto,no,,Transport,,,,
Taxi LIC,no,,Transport,,,,
TaxiBlu,no,,Transport,,,,
Technogym,no,,PersonalCare,,Gym,,
Telecom Italia,no,,Bills,Housing,Utilities,,
Telepass,no,,Transport,,,,
Teletu,yes,,Bills,,,,
Terranova,yes,,Shopping,,,,
Thun,no,,Shopping,,,,
Tic Tac,no,,Groceries,,,,
Tigotá,no,,Shopping,,Beauty,,
Tigre,no,,Groceries,,,,
Tigros,yes,,Groceries,,,,
TIM,no,,Bills,,,,
Tirrenia,no,,Travel,,,,
Tosca Blu,yes,,Shopping,,,,
Total erg,yes,,Transport,,,,
Toys Center,yes,,Shopping,,,,
Trenitalia,yes,,Transport,,,,
Trenord,no,,Transport,,,,
Trenta,yes,,,,,,
Triumph,yes,,Transport,,,,
Trony,no,,Bills,,,,
Trudi,yes,,Shopping,,,,
Trussardi,no,,Shopping,,,,
Tucano Urbano,no,,Transport,,,,
Tuscany Leather,no,,Shopping,,,,
Twinset,yes,,Shopping,,,,
UCI Cinema,no,,Leisure,,,,
Unes,yes,,Groceries,,,,
Unieuro,no,,Shopping,,,,
UnipolSai Assicurazioni,no,,Bills,,Insurance,,
Università Bocconi,no,,Education,,,,
Università Cattolica,no,,Education,,,,
US Fashion,yes,,Shopping,,,,
Valentino,no,,Shopping,,,,
Valfrutta,no,,Groceries,,,,
Valtur,yes,,Travel,,,,
Venchi,no,,Groceries,,,,
Verifone,no,,Bills,,,,
Vespa,no,,Transport,,,,
Via Condotti,no,,Shopping,,,,
Vibram,no,,Shopping,,,,
Village East,yes,,Shopping,,,,
Visconti,no,,Shopping,,,,
Vorwerk,no,,Shopping,,,,
Whyte & Brown,yes,,EatingOut,,,,
Wiener Haus,yes,,EatingOut,,,,
Wiener Linien,no,,Transport,,,,
Wikimedia Foundation,yes,,Charity,,,,
Wind,no,,Bills,,,,
World Of Delights,yes,,Shopping,,,,
WOW air,yes,,Travel,,,,
Yamamay,no,,Shopping,,,,
Yauatcha,no,,EatingOut,,,,
YellowTaxi,yes,,Travel,,,,
Yoox,no,,Shopping,,,,
Yun Quick,no,,EatingOut,,,,
Z generation,no,,Shopping,,,,
Zambon,no,,PersonalCare,,,,
Zanussi,no,,Housing,,,,
Nationwide,yes,,Bills,,Internal,,
Natwest,yes,,Bills,,Internal,,
NCP,yes,,Transport,,,,
Neals Yard,no,,Shopping,,,,
Nexus Venture Partners,no,,Investments,,,,
NFU Mutual,yes,,Bills,,Insurance,,
Nisa Local,yes,,Groceries,,,,
Northern Gas Networks,no,,Bills,Housing,Utilities,,
Northern Rail,no,,Transport,,,,
Norton,yes,,Expenses,,,,
NotOnTheHighStreet.com,yes,,Shopping,,,,
Now TV,no,,Leisure,,,,
npower,yes,,Bills,Housing,Utilities,,
Ns&I,yes,,Investments,,,,
NSPCC,yes,,Charity,,,,
Nuffield Health,yes,,PersonalCare,,,,
O'Neills Irish Pubs,no,,Drinks,,,,
O2,yes,,Bills,,,,
Oasis,yes,,Shopping,,,,
Ocado,yes,,Groceries,,,,
Octopus Energy,yes,,Bills,Housing,Utilities,,
ODEON,yes,,Leisure,,,,
Old Mutual,yes,,Investments,,,,
OLIVER BONAS,yes,,Shopping,,,,
Olympic Studios,no,,Leisure,,,,
Omega,yes,,Shopping,,,,
One Stop Shop,no,,Groceries,,,,
Optical Express,no,,PersonalCare,,,,
Orange Mobile,no,,Bills,,,,
Ovo Energy,yes,,Bills,Housing,Utilities,,
Oyster,yes,,Transport,,,,
Pact coffee,yes,,Coffee,,,,
Paperchase,yes,,Expenses,,Stationary,,
ParentPay,yes,,Education,,,,
Patisserie Valerie,yes,,Coffee,,,,
Patty And Bun,yes,,EatingOut,,,,
PayByPhone,yes,,Expenses,,,,
Paymentshield,yes,,Expenses,,,,
PCWorld.com,no,,Shopping,,,,
Peacock's Stores,yes,,Shopping,,,,
Perk Box,yes,,Shopping,,,,
Peterborough Energy,no,,Bills,Housing,Utilities,,
Pets at Home,yes,,Bills,,Pets,,
PFP Energy,yes,,Bills,Housing,Utilities,,
Pizza Express,yes,,EatingOut,,,,
Pizza Union,no,,EatingOut,,,,
Planet Organic,no,,Groceries,,,,
PlusNet,yes,,Bills,,,,
Pod Food,yes,,Lunch,,,,
Polo Factory Store,no,,Shopping,,,,
Post Office,yes,,Expenses,,,,
Poundland,yes,,Shopping,,,,
PoundStretcher,yes,,Shopping,,,,
Poundworld,yes,,Shopping,,,,
Powershop,yes,,Bills,Housing,Utilities,,
Premier Inn,no,,Travel,,,,
Premier Stores,yes,,Shopping,,,,
Prezzo,no,,EatingOut,,,,
Privilege Insurance,no,,Bills,,Insurance,,
Protect your bubble,yes,,Bills,,Insurance,,
Protein Haus,yes,,EatingOut,,,,
Prudential Financial,yes,,Bills,,Insurance,,
Psycle,no,,PersonalCare,,Gym,,
Pure,yes,,Lunch,,,,
Pure Gym,yes,,PersonalCare,,Gym,,
Purple Parking,no,,Transport,,,,
PWC,yes,,Expenses,,,,
QuickQuid,yes,,Expenses,,,,
Quidco,yes,,Shopping,,,,
